id,baslik,sarki_sozu,sarki_turu
59,Dedim kaşın Zülfikar mı dedi ki yay,"dedim kaşın zülfikar dedi yay
dedim cemâlin dedi
dedim seni seviyorum dedi
dedim bende gönlün var
dedi yoh yoh
dedim bende gönlün var
dedi yoh yoh
dedim senin işin nedir dedi seyran
dedim sende sevdan var dedi püryan
dedim senin neyin vardır dedi üryan
dedim senin malın var
dedi yoh yoh
dedim senin malın var
dedi yoh yoh
dedim senin koynun nedir dedi cennet
dedim gülün varmış dedi âbı hayat
dedim yârin kimdir dedi kul ahmet
dedim yârin var
dedi yoh yoh
dedim yârin var
dedi yoh yoh
",halk
60,Değirmen başında vurdular beni,"değirmen başında vurdular beni vuy
kirli tütünlüğe sardılar beni
vurma ragıp vurma nar danesiyem vuy
anamın babamın danesiyem
değirmen başında vuy tepem vuy
gaytan bıyıhlaran gül suyi serpem
vurma ragıp vurma nar danesiyem vuy
anamın babamın danesiyem
",halk
61,Denize dalmayınca,"denize dalmayınca
balık almayınca
kalkmayız
amman gök kandil olmayınca
alim nerdesin
kaldır camın perdesin
benim dertli misin
denize dalayım
balık alayım
battı güneş doğdu
yalvarayım
alim nerdesin
amman kaldır camın perdesin
benim dertli misin
",halk
62,Deniz üstü köpürür,"deniz üstü köpürür canım rinna nay rinna rinna nay
gemilere binsem götürür canım
benim cihana gelişim canım rinna nay rinna rinna nay
güzelden canım
daş daş goydum canım rinna nay rinna rinna nay
gül yastığa baş goydum canım
seni gelecek canım rinna nay rinna rinna nay
sol yanımı yanımı goydum canım
garıncanın gatarı canım rinna nay rinna rinna nay
sol yanımda batarı canım
benim buraya geldiğim canım rinna nay rinna rinna nay
güzelin hatırı canım
",halk
63,Derdim çoktur hangisine yanayım,"derdim çoktur hangisine yanayım
tazelendi yürek yarası
derde hande derman bulayım
dost elinden ola çaresi
benim
benim derdime derman
türlü donlar giymiş gülden naziktir
bülbül çevreyleme güle yazıktır
hasretlik çektim bağrım eziktir
güle güle gelir canlar paresi
benim
benim derdime derman
benim boylu servi çınarım
yüreğime od düştü yanarım
kıblem sensin yüzüm sana dönerim
mihrabımdır kaşlarının arası
benim
benim derdime derman
sultanım yüksek uçarsın
selamsız sabahsız gelir geçersin
dilber muhabetten kaçarsın
böylemiydi yolumuzun töresi
benim
benim derdime derman
",halk
64,Deve yüksek atamadım urganı,"deve yüksek atamadım urganı
elifim ağlama karaları bağlama
benim ağlama nazlı rûzî hanım
yuvarlan gel
susadıkça ver ağzıma ayranı
eliflerin ince ince sana geldim gizlice
saramadım nazlı rûzî hanım
yuvarlan gel
üşüdükçe çek yorganı
eliflerin ellerin var kâr
gönlü var nazlı rûzî hanım
yuvarlan gel
",halk
65,Devrent deresine duman bürüdü,"devrent deresine duman bürüdü
dumanın dudum yürüdü
dudumu derelere kimler sürüdü
kaldır dudu kolların göster boyunu
dudumun yollarına kıydım canımı
kaymakçı kahvesinde masalar kuruldu
masanın başında süleyman vuruldu
saatine varmadan ödemişe duyuldu
kaldır dudu kolların göster boyunu
dudumun yollarına kıydım canımı
",halk
66,Deymen benim gamlı yaslı gönlüme,"deymen benim gamlı yaslı gönlüme
selvi boylu yârdan ayrıldım
bağban idim dostun bağında
talan vurdu ayva nardan ayrıldım
kumru gökyüzünde dönende
baykuş virân yurda konanda
ağladım ferhat çöllerde
şirin zülfü yârdan ayrıldım
",halk
67,Dost dost diye nicesine sarıldım,"dost dost nicesine sarıldım
benim sadık yarim kara topraktır
dolandım boşa yoruldum
benim sadık yarim kara topraktır
güzellere bağlandım kaldım
vefa gördüm faydalandım
türlü isteğim topraktan aldım
benim sadık yarim kara topraktır
koyun verdi kuzu verdi süt verdi
yemek verdi ekmek verdi et verdi
kazma i̇le dövmeyince kıt verdi
benim sadık yarim kara topraktır
ademden deme neslim getirdi
bana türlü türlü meyva yetirdi
gün beni tepesinde götürdü
benim sadık yarim kara topraktır
karnın yardım kazma i̇le bel i̇le
yüzün yırttım tırnak i̇le el i̇le
beni karşıladı gül i̇le
benim sadık yarim kara topraktır
i̇şkence yaptıkça bana gülerdi
bunda yalan yoktur herkesler gördü
çekirdek verdim bostan verdi
benim sadık yarim kara topraktır
havaya bakarsam hava alırım
toprağa bakarsam dua alırım
topraktan ayrılsam nerde kalırım
benim sadık yarim kara topraktır
dileğin varsa i̇ste
almak i̇çin uzak gitme topraktan
cömertlik toprağa verilmiş haktan
benim sadik yarim kara topraktır
ararsan nokta
allah kula kul allaha
hakkın hazinesi kara toprakta
benim sadık yarim kara topraktır
bütün kusurlarımı toprak gizliyor
merhem çalıp yaralarım düzlüyor
kolun açmış yollarımı gözlüyor
benim sadık yarim kara topraktır
olursa sırra mazhar
dünyaya bırakır ölmez eser
gün gelir veyselin bağrına basar
benim sadık yarim kara topraktır
",halk
68,Dumanı da vardır şu dağların başında,"dumanı vardır dağların başında
gönlüm kaldı toprağında taşında
cümlalemin başında
i̇manım dağlar bozdoğanım söğüdü
verdiler dutamadım öğüdü
i̇manım yarim gitti gelmedi
gudurası çaylar yudum su vermedi
gökyüzünde dağınık duğunluk bulutlar
ardımdankim yüzüme öğütler
evveliydi özü sözü yiğitler
i̇manım dağlar bozdoğanım söğüdü
verdiler dutamadım öğüdü
i̇manım yarim gitti gelmedi
gudurası çaylar yudum su vermedi
",halk
69,Dut ağacı boyunca,"dut yemedim doyunca
yari halvette gördüm
sarılmadım doyunca
aycan aycan
yari halvette gördüm
sarılmadım doyunca
benim balam kime neyler
körpe balam bana neyler
benim balamay balam
körpe balam bana neyler
kızıl üzüh lahladı
verdim anam sahladı
anama olum
meni adahladı
gedirdim
ayağıma deydi taş
senden bana yar olmaz
gel olak gardaş
aycan aycan
senden bana yar olmaz
gel olak gardaş
benim balam kime neyler
körpe balam kime neyler
benim balam balamah
körpe balam balam
",halk
70,Dün gece yâr hanesinde yastığım bir taş idi,"amman amman
yar hânesinde
yastığım taş idi
altım çamur üstüm yağmur
gönlüm idi
amman amman amman
amman amman amman
yandım seni bilmem
amman amman amman
amman amman amman
dağ yüce olsa
dağ kenarı yol olur
buna bayram gün derler
dostla düşman olur
amman amman amman
amman amman amman
yandım seni bilmem
",halk
71,Dünya umuruna meylini verme,"dünya umuruna meylini verme
kurtulamazsın ecel elinden
filanım deyi göğsünü germe
kurtulamazsın ecel elinden
meryem onnoğlu onun oğlu i̇sa
elinde ejderha olurdu asa
polat kavmi cengeden musa
kurtulamadı ecel elinden
i̇skender gitti alemi gezdi
yunus balık deryayı yüzdü
zaloğlu rüstemin tahtını bozdu
kurtulamadı ecel elinden
nemrut i̇brahimle cenk eyledi
semaya kastetdi söylerdi
ahırı sinek halak eyledi
kurtulamadı ecel elinden
eydür derviş yunus din iman
tacı tahtı yel götürdü süleyman
lokman olmadı derdine derman
kurtulamadı ecel elinden
",halk
72,Edremit'in gelini kınalamış elini,"edremitin gelini kınalamış elini
sarmaya doyamadım incecik belini
hoştur cilvesi cilvesi elmaslı fesi
edremitin bağına duman çökmüş dağına
huriler çadır kurmuş cennetin ayağına
hoştur cilvesi cilvesi elmaslı fesi
yağmur yağar çöllere akar gider göllere
selbes ondan düştüm dillere
hoştur cilvesi cilvesi elmaslı fesi
",halk
73,Eklemedir koca konak ekleme,"eklemedir koca konak ekleme
nazlı yârim geldi aklıma
edeyim başımdaki sevdaya
dostlar yoldan geldim yorgunum
orta boylu güzele vurgunum
bizim bağın menekşesi al olur
sevdiğine yanar kul olur
sevdiğini alamayan delolur
gidelim aynalı kavağa üçümüz
taze şeftalidir bizim yükümüz
bizim bağa gider serhaya
çektiler kolumdan beni tenhaya
edeyim başımdaki sevdaya
dostlar kabir bana gelir
gençlikte bana gelir
",halk
74,Ela gözlerini sevdiğim dilber,"ela gözlerini sevdiğim dilber
görmedim senden ziyade
bilmem melek misin gökten indin
melek görmedim senden ziyade
kara bağrım salınırsın
cevahir tutmaz silinirsin
baktıkça gözüme görünürsün
güzelliğin ziyade
",halk
75,Eledim eledim höllük eledim,"eledim eledim höllük eledim
aynalı beşikte canan beledim
büyüttüm besledim asker eyledim
gitti gelmedi canan buna çare
yandı ciğerim canan buna çare
simâdır aklımı alan
sevdasını canan şerime saran
bizi kınamasın ehli din olan
gitti gelmedi canan buna çare
yandı ciğerim canan buna çare
",halk
76,Elif dedim be dedim aman,"elif dedim dedim
gız sana dedim
guş ganedi galem olsa
yazılmaz benim derdim
elifim noktalandı
derdim çokçalandı
yetiş anam yetiş babam
çeyizim bohçalandı
mezerim tahtalandı
",halk
77,El veriyor el veriyor,"el veriyor el veriyor
koca konak bel veriyor
döndüm baktım ardıma
memet beyim can veriyor
evlerinin önü arpa
gırat yiyor gırpa gırpa
memet beyim martin atar
ak ellerin çırpa çırpa
",halk
78,Entarisi ala benziyor,"entarisi ala benziyor
şeftalisi bala benziyor
benim yarim bana benziyor
çare nişanlıdır
kaytan bıyıklı delikanlıdır
şekerli misin
kaymaklı mısın
entarisi biçim biçim
ölüyorum senin
bekletme gel başın
çare nişanlıdır
kaytan bıyıklı delikanlıdır
şekerli misin
kaymaklı mısın
",halk
79,Erik dalı gevrektir,"erik dalı gevrektir
erik dalı gevrektir
basmaya gelmez
basmaya gelmez
eller oynasın eller
diller söylesin diller
eller derlerse desinler
dillerini yesinler
el kızı naziktir
el kızı naziktir
küsmeye gelmez
küsmeye gelmez
eller oynasın eller
diller söylesin diller
eller derlerse desinler
dillerini yesinler
",halk
80,Erzurum çarşı pazar (Sarı gelin),"erzurum çarşı pazar
neynim amman neynim amman sarı gelin
i̇çinde gezer
ninen ölsün sarı gelin sarı gelin suna yarim
elinde divit kalem
neynim amman neynim amman sarı gelin
katlime ferman yazar
ninen ölsün sarı gelin sarı gelin suna yarim
palandöken yüce dağ
neynim amman neynim amman sarı gelin
mor sümbüllü bağ
ninen ölsün sarı gelin sarı gelin suna yarim
seni vermem yadlara
neynim amman neynim amman sarı gelin
canım sağ
ninen ölsün sarı gelin sarı gelin suna yarim
",halk
81,Evlerinin önü mersin,"evlerinin önü mersin
sular içmem gadınım tersin tersin
mevlâm seni bana versin
al hançerini kadınım vur öleyim
kapınızda bi danem kul olayım
evlerinin önü susam
su bulsam gadınım çevremi yuğsam
açsam yüzünü baksam dursam
al hançerini kadınım vur öleyim
kapınızda bi danem kul olayım
",halk
82,Eziz dostum benden küsüp incidi,"eziz dostum benden küsüp incidi
ayrılık yağ çekti yeridi
gezdiğin yerleri od basıp indi
gedip galmışam hesretindeyem
neçe nağme goşum neçe dillenim
dost gedip özüme gelebilmirem
ele ellerim yoh olup menim
gözümün yaşını silebilmirem
çaldığı sazını getirip mene
görsün çalmakta neçe mahirem
elinde yay kimin incelsin
ziyler çekilin güyüldi odam
neçe nağme goşum neçe dillenim
dost gidip özüme gelebilmirem
ele ellerim olur menim
gözümün yaşını silebilmirem
",halk
83,Fındıklı bizim yolumuz,"fındıklı bizim yolumuz eşim amân ammân
hovarda hovarda çıktı soyumuz
bizim eski huyumuz eşim amân ammân
hancı yolcu çatma kaşların
sar dola boynuma kolların
fındıklıdan gelir geçersin eşim amân ammân
salına salına sigara içersin
alır vazgeçersin eşim amân ammân
hancı yolcu çatma kaşların
sar dola boynuma kolların
",halk
84,Ayrılık,"fikrimden geceler yatabilmirem
fikri başımdan atabilmirem
sene çatabilmirem
ayrılık ayrılık ayrılık
dertten âlâ yaman ayrılık
uzundur hicrimden kara geceler
bilmirem geldim hara geceler
buruktur hicrimden kara geceler
ayrılık ayrılık ayrılık
dertten âlâ yaman ayrılık
",halk
85,Gafil gezme şaşkın bir gün ölürsün,"gafil gezme şaşkın gün ölürsün gün ölürsün
dünya malın yarim yarim yarim yarim yarim yarim yarim yarim olsa fayda
söyleyen dillerin söylemez olur
bülbül dilin olsa fayda olsa fayda
söyleyen dillerin söylemez olur
bülbül dilin olsa fayda olsa fayda
söylersin söz sözün var heycan sözün var
çalarsın çırparsın yarim yarim yarim yarim yarim yarim yarim yarim oğlun kızın var
arşın bezin var
bedesten senin olsa fayda olsa fayda
arşın bezin var
bedesten senin olsa fayda olsa fayda
kul himmet üstadım gelse otursa heycan otursa
hakkın kelamını yarim yarim yarim yarim yarim yarim yarim yarim dile getirse
dünya benim zapta geçirse
karun malın olsa fayda olsa fayda
dünya benim zapta geçirse
karun malın olsa fayda olsa fayda
",halk
86,Geceler yârim oldu aman aman garibem,"geceler yârim garibem
ağlamak kârım anam anam garibem
dertten yıkılmazdım anam garibem
sebebim zâlim anam anam garibem
bayram gelmiş neyime garibem
kan damlar yüreğimeanam anam garibem
yaralarım sızlıyor garibem
doktor benim neyime anam anam garibem
",halk
87,Gerizler başında hoplayamadım,"gerizler başında hoplayamadım
döküldü cephanelerim toplayamadım
düşman galip geldi haklayamadım
efeler öldürmen beni
cemilenin yoluna soldurman beni
mahkemenin eğildim geçtim
sol yanımdan gurşun yedim bayıldım düştüm
düşman buna şaştım
efeler öldürmen beni
cemilenin yoluna soldurman beni
",halk
88,Gesi bağlarında dolanıyorum,"gesi bağlarında dolanıyorum
yitirdim yarimi amman aranıyorum
çift selamına güveniyorum
gel otur yanıma hallarımı söyleyim
halımdan bilmiyor yari
gesi bağlarından gelsin geçilsin
kurulsun masalar rakı konyak içilsin
sevdiğini alsın seçilsin
atma anam atma beni dağlar ardına
kimseler yanmasın anam yansın derdime
gesi bağlarında gülüm var
korkmaz sana bana var
var sa zulüm var
atma anam beni dağlar ardına
kimseler yanmasın anam yansın derdime
",halk
89,Gine (yine) dertli dertli iniliyorsun,"dertli dertli iniliyorsun
dertli dertli iniliyorsun
sarı durnam sînen yaralandı
el değmeden iniliyorsun
sarı durnam sînen yaralandı
ciğerlerin parelendi
sana düzen düzdüler
perdelerin tel tel edip üzdüler
tellerini sırmadan süzdüler
allı durnam telli durnam
sînen yarelendi
ciğerlerin parelendi
havayı deli gönül havayı
doğmadan şavkı dutmuş ovayı
türkmen kızı kater etmiş mayayı
çekip gider gözleri sürmeli
çekip gider gözleri sürmeli
kuru kütük yanmayınca tüter
ak gerdanda çifte benler biter
vakti gelmeyince bülbül öter
ötüp gider gözleri sürmeli

dere kenarında yerler hurmayı
kılavuz ederler telli durnayı
ak göğsün üstünde ilik düğmeyi
çözüp gider gözleri sürmeli

karacoğlan der geçti fayda
vefa kalmadı ok yayda
",halk
90,Gönül dağı yağmur boran olunca,"gönül dağı yağmur yağmur boran olunca
ahar can özümde sel gızlı gızlı
tenhada can cananı bulunca
sinamı yaralar yaroy yaroy yaroy yaroy yaroy yaroy
dil
dost elınden gel olmazsa varılmaz
rızasız bahçanın gülü derilmez
kalpten kalbe bır yol vardır görülmez
gönülden gönüle gıder yaroy yaroy yaroy yaroy yaroy yaroy
yol
seher vaktı bülbül öterken
kirpiklerın ohu yar yar batarken
alem uykusunda yatarken
kımseler görmeden yaroy yaroy yaroy yaroy yaroy yaroy
gel
",halk
91,Gönül gel seninle muhabbet edelim,"gönül gel seninle muhabbet edelim
araya kimseyi alma sevdiğim
benim kimim var kime yalvarayım
kaldır kalbindeki karayı gönül
dünya gül benzini soldurma
halden bilmeyene halin bildirme
tabip olmayana yaran sardırma
azdırırsın gün yarayı gönül
solmazsa güzeller solmaz
dünya fanidir kimseye kalmaz
yalan dolan sofuluk olmaz
mümin olan bekler berayı gönül
derviş ali’m öğüt verir özüne
gönül lütfeyledi geldi sözüne
azrail konarsa göğsün düzüne
zaman görürsün karayı gönül
",halk
92,Gül kuruttum gül kuruttum,"gül kuruttum gül kuruttum
yâri sînemde uyuttum
yâr söyledi unuttum
düştü gönül
yârdan ayrılması müşkül
gül ezerler gül ezerler
gülü tabağa dizerler
güzeli severler
düştü gönül
yârdan ayrılması müşkül
",halk
93,Güvercin uçuverdi (Misket),"güvercin uçuverdi
kanadın açıverdi
el oğlu amman amman
sevdi kaçıverdi
benim hacı yarim
başımın tacı yarim
eller bana acımaz
acı yarim
güvercinim uyur
çağırsam uyanır
yar burda
buna can dayanır
deniz olur
dibi kumsuz olur
hakime danıştım
yiğit yarsiz olur
caminin müezzini
i̇çinin düzeni
memleketler gezdim
misgetten güzeli
daracık daracık sokaklar
misget şeker topaklar
pul pul olsun dökülsün
seni öpen dudaklar
",halk
94,Güzel ne güzel olmuşsun görülmeyi görülmeyi,"olmuşsun
görülmeyi görülmeyi
siyah zülfün halkalanmış
örülmeyi örülmeyi
mendili yudum arıttım
gülün dalında kuruttum
adın idi unuttum
sorulmayı sorulmayı
çağır karacoğlan çağır
taş düştüğü yerde
yiğit sevdiğinde soğur
sarılmayı sarılmayı
",halk
95,Hangi bağın bağbanısan gülüsen,"bağın bağbanısan gülüsen gülüsen
aldın aklım ettin beni deli amman
aldın aklım ettin beni deli amman
yıl geçse benim yarimsen yarimsen
i̇sterim gün gelesen amman
i̇sterem gün gelesen amman
öldüm bittim eridim kül oldum amman
senin elinden bayıldım amman
öldüm bittim eridim kül oldum amman
sesin aldım yüzünü gördüm ayıldım amman
diyarbakır etrafında bağlar var bağlar var
fitil işler yüreğimde yaram var amman
fitil işler yüreğimde yaram var amman
gidersen benim kimim var kimim var
i̇sterem gün gelesen amman
i̇sterem gün gelesen amman
öldüm bittim eridim kül oldum amman
senin elinden bayıldım amman
öldüm bittim eridim kül oldum amman
sesin aldım yüzünü gördüm ayıldım amman
",halk
