id,baslik,sarki_sozu,sarki_turu,eski_turkce_kelime_orani,fiil_orani,sifat_orani,zarf_orani,baglac_orani,unlem_orani,soru_orani,bilinmeyen_orani
46,Çanakkale içinde aynalı çarşı,"çanakkale içinde aynalı çarşı
ana ben gidiyom düşmana karşı
of gençliğim eyvah
çanakkale içinde bir uzun selvi
kimimiz nişanlı kimimiz evli
of gençliğim eyvah
çanakkale üstünü duman bürüdü
on üçüncü fırka harbe yürüdü
of gençliğim eyvah
çanakkale içinde bir dolu testi
analar babalar umudu kesti
of gençliğim eyvah
",halk,0.1,0.06,0.12,0.0,0.0,0.08,0.0,0.02
47,Çarşambayı sel aldı bir yar sevdim el aldı,"çarşamba’yı sel aldı
bir yâr sevdim el aldı aman aman
keşke sevmez olaydım
elim koynumda kaldı aman aman
oy ne imiş ne imiş aman aman
kaderim böyle imiş
gizli sevda çekmesi aman aman
ateşten gömlek imiş
çarşamba yazıları
körpedir kuzuları aman aman
allah alnıma yazmış
bu kara yazıları aman aman
a dağlar ulu dağlar aman aman
yârim gurbette ağlar
yâri güzel olanlar aman aman
hem ah çeker hem ağlar
",halk,0.09,0.22,0.09,0.01,0.03,0.25,0.0,0.0
48,Çaya da düştü tutamadım kolunu (Ümmü Kız),"çaya da düştü tutamadım kolunu ümmü kiz
çaya da düştü tutamadım kolunu
uzak da gitti bilemedim yolunu
güzel de mevlam kısmet etmiş ölümü
kanlı da çaylar nerelere goydun ümmümü
suna boylumu
kadı da geldi mahkemeler kuruldu
i̇fadesi mustancıktan soruldu
komşuları hakka niye yoruldu
akmayasıca çaylar nerelere koydun ümmümü
suna boylumu
",halk,0.06,0.26,0.06,0.02,0.12,0.0,0.0,0.06
49,Çek deveci develeri engine,"çek deveci develeri engine
şimdi rağbet güzel i̇le zengine zengine canım
devesi var densiz
gerdanı var bensiz
ben olamam sensiz
sen de durma bensiz
öpmelere yazık
sıkmalara nazik
sıktırmış kollarını
altın gümüş bilezik
çek deveci develeri sulansın
sevip sevip ayrı düşen dolansın
köye varasım geldi
yari göresim geldi
pencereden görünce
camı gırasım geldi
devesi çanına
gerdanında benine
al yanağın gülüne
saçlarının teline
",halk,0.06,0.13,0.16,0.06,0.02,0.0,0.0,0.03
50,Çekemedim akça kızın göçünü,"hey hey çekemedim akça kızın göçünü of göçünü
sırma saçlar bırak döğsün döşünü a kız döşünü
gülüver de görem mercan dişini of dişini
yol ver bana çıbık beli geçeyim geçeyim
a kız geçeyim
hey hey yaylaların yeli soğuk esmez mi of esmez mi
sevdiğim de rüyalara girmez mi a kız girmez mi
girmesen de gönül sana küsmez mi of küsmez mi
yol ver bana çıbık beli geçeyim geçeyim
a kız geçeyim
",halk,0.01,0.27,0.03,0.0,0.04,0.17,0.08,0.04
51,Çelik pazarında ufacık taşlar,"çelik pazarında ufacık taşlar
el ele tutmuş gidiyor dadaşlar
yaralarım alır gelir kardaşlar
ey ağalar ben kafadan vuruldum
vuruldum da dilden dile duyuldum
benim yârim gece gezer bostanı
hanım kızlar güzel okur destanı
yeşil geymiş kadifeden fistanı
ey ağalar ben kafadan vuruldum
vuruldum da dilden dile duyuldum
",halk,0.02,0.23,0.06,0.0,0.04,0.04,0.0,0.0
52,Çorabını ördüğüm,"çorabını ördüğüm oğlan oğlan ay oğlan
vay derdine yandığım sana yandım ay oğlan
seni hasta dediler oğlan oğlan ay oğlan
noldu gurban olduğum sana yandım ay oğlan
oğlana bak oğlana boyu benzer fidana
o fidan bir gül açmış kokulatmaz adama
oğlan destecik oğlan boyları gostacık oğlan
sana nazar değmesin tak bir nazarlık oğlan
çorapları yaşımış oğlan oğlan ay oğlan
ayakları üşümüş sana yandım ay oğlan
hadi gidelim yarim oğlan oğlan ay oğlan
tan yerleri ışımış sana yandım ay oğlan
oğlana bak oğlana boyu benzer fidana
o fidan bir gül açmış kokulatmaz adama
oğlan destecik oğlan boyları gostacık oğlan
sana nazar değmesin tak bir nazarlık oğlan
",halk,0.08,0.14,0.03,0.0,0.0,0.02,0.0,0.06
53,Çökertme'den çıktım da Halil'im,"çökertmeden çıktım da halilim
aman başım selamet
bitezde yalısına varmadan halilim
aman koptu kıyamet
arkadaşım i̇brahim çavuş
allahıma emanet
burası da aspat değil halilim
aman bitez yalısı
yüreğime ateş saldı
dostlar kurşun yarası
gidelim gidelim halilim
çökertmeye varalım
kolcular gelince halilim
nerelere kaçalım
teslim olmayalım halilim
aman kurşun saçalım
burası da aspat değil halilim
aman bitez yalısı
yüreğime ateş saldı
dostlar kurşun yarası
",halk,0.03,0.21,0.0,0.03,0.05,0.08,0.0,0.05
54,Çubuğum yok aman yol üstüne uzatam,"çubuğum yok aman yol üstüne uzatam
takatım yok aman yâr yolların gözetem
takatım yok yâr yolların gözetem
menendim yok aman seni kime benzetem
ört yârim yazmayı boylu boyunca
ben saramadım eller sarsın doyunca
altı ay yollarda ağlayıp gezer
sırma saçlarını bağlayıp çözer
sırma saçlarını bağlayıp çözer
o güzel bağrımı dağlayıp geçer
ört yârim yazmayı boylu boyunca
ben saramadım eller sarsın doyunca
",halk,0.05,0.15,0.13,0.1,0.0,0.05,0.0,0.07
55,Dalda çıkmış bir elma (Karabiberim),"dalda çıkmış bir elma
elmalı yâr cilveli yâr
aramızdan geçti de bir yâr
karabiberim top şekerim
senin kaderin benim tecellim
darılmaca yok yok barışmaca çok
seni seven yok yok beni seven çok
uzaklara gitme sana küserim
yakınlara gelir isen alır giderim
dalda çıkmış bir kiraz
kirazlı yâr şirazlı yâr
aramızdan geçti de bir yâr
karabiberim top şekerim
senin kaderin benim tecellim
darılmaca yok yok barışmaca çok
seni seven yok yok beni seven çok
uzaklara gitme sana küserim
yakınlara gelir isen alır giderim
dalda çıkmış bir ayva
ayvalı yâr cilveli yâr
aramızdan geçti de bir yâr
karabiberim top şekerim
senin kaderin benim tecellim
darılmaca yok yok barışmaca çok
seni seven yok yok beni seven çok
uzaklara gitme sana küserim
yakınlara gelir isen alır giderim
",halk,0.13,0.15,0.2,0.05,0.02,0.0,0.0,0.0
56,Dane dane benleri var yüzünde,"dane dane benleri var yüzünde
can alıcı bakışları gözünde
binbir dat var edasında nazında
dünyada yarden datlı var mola
sallanı sallanı gelen yar mola
küpeleri ağır düşer kulaktan
zülüfleri tel tel etmiş yanaktan
ağzı şeker bal akıyor dudaktan
dünyada yarden datlı var mola
sallanı sallanı gelen yar mola
ağır barhanası vardır elinde
datlı kelâm gelir yarin dilinde
kemer olsam sevdiğimin belinde
dünyada yarden datlı var mola
sallanı sallanı gelen yar mola
",halk,0.15,0.07,0.14,0.0,0.0,0.0,0.0,0.15
57,Daracık sokakları duman bürüdü,"daracık sokakları duman bürüdü
külhan da beyler kızları aldı yürüdü
benim yârim küçücüktü büyüdü
sürüden ayrılan sürmeli koyun
şafaklar atıyor gel yârim uyu
yüksek minareden attım iki taş
ne anam var ne babam ne kardeş
keskin bıçak oldu bana arkadaş
sürüden ayrılan sürmeli koyun
şafaklar atıyor gel yârim uyu
yüksek minarede kandiller yanar
kandilin şavkına bülbülller kanar
i̇nsan sevdiğine böyle mi yanar
sürüden ayrılan sürmeli koyun
şafaklar atıyor gel yârim uyu
",halk,0.03,0.27,0.14,0.03,0.01,0.0,0.01,0.03
58,"Dedim kız yaşın nedir, dedi başımdır","dedim gız yaşın nedir dedi başımdır
dedim gız yaşın nedir dedi başımdır
dedim gız kalem nedir dedi gaşımdır
dedim gız on dört nedir dedi yaşımdır
dedim gız sünbül nedir dedi saçımdır
dedim gız sar boynuma dedi olmaz olmaz
olmaz olmaz olmaz
muhebbet olsa olar
ah nice olmaz olmaz
yar nice olmaz olmaz
dedim gız ala nedir dedi gözümdür
dedim gız lala nedir dedi özümdür
dedim gız gonca nedir dedi lebimdir
dedim gız şeker nedir dedi sözümdür
dedim gız çare nedir dedi olmaz olmaz
olmaz olmaz olmaz
muhebbet olsa olar
ah nice olmaz olmaz
yar nice olmaz olmaz
dedim gız uzah nedir dedi yolumdur
dedim gız aze nedir dedi adımdır
dedim gız baycan nedir dedi canımdır
dedim gız kulaç nedir dedi kolumdur
dedim gız sar boynuma dedi olmaz olmaz
olmaz olmaz olmaz
muhebbet olsa olar
ah nice olmaz olmaz
yar nice olmaz olmaz
",halk,0.06,0.63,0.04,0.0,0.0,0.0,0.0,0.15
59,Dedim kaşın Zülfikar mı dedi ki yay,"dedim kaşın zülfikar mı dedi ki yay
dedim cemâlin ne güzel dedi ki ay
dedim seni seviyorum dedi ki vay
dedim bende gönlün var mı
dedi ki yoh yoh
dedim bende gönlün var mı
dedi ki yoh yoh
dedim senin işin nedir dedi seyran
dedim sende sevdan mı var dedi püryan
dedim senin neyin vardır dedi üryan
dedim senin malın var mı
dedi ki yoh yoh
dedim senin malın var mı
dedi ki yoh yoh
dedim senin koynun nedir dedi cennet
dedim iki gülün varmış dedi âbı hayat
dedim yârin kimdir dedi kul ahmet
dedim başka yârin var mı
dedi ki yoh yoh
dedim başka yârin var mı
dedi ki yoh yoh
",halk,0.19,0.32,0.03,0.01,0.08,0.01,0.07,0.12
60,Değirmen başında vurdular beni,"değirmen başında vurdular beni vuy
kirli tütünlüğe oğul oğul oğul sardılar beni
vurma ragıp vurma nar danesiyem vuy
anamın babamın oğul oğul oğul bir danesiyem
değirmen başında vuy ana tepem vuy
gaytan bıyıhlaran oğul oğul oğul gül suyi serpem
vurma ragıp vurma nar danesiyem vuy
anamın babamın oğul oğul oğul bir danesiyem
",halk,0.08,0.04,0.02,0.0,0.0,0.0,0.0,0.25
61,Denize dalmayınca,"denize dalmayınca
aman bir balık almayınca
biz buradan kalkmayız
amman gök kandil olmayınca
aman aman alim nerdesin
aman kaldır camın perdesin
aman benim gibi dertli misin
denize dalayım mı
aman bir balık alayım mı
ay battı güneş doğdu
aman daha yalvarayım mı
aman aman alim nerdesin
amman kaldır camın perdesin
aman benim gibi dertli misin
",halk,0.05,0.22,0.05,0.07,0.0,0.18,0.09,0.0
62,Deniz üstü köpürür,"deniz üstü köpürür hey canım rinna nay rinna rinna nay
gemilere binsem götürür hey canım hey
benim de şu cihana gelişim hey canım rinna nay rinna rinna nay
bir güzelden ötürü hey canım hey
daş üstüne daş goydum hey canım rinna nay rinna rinna nay
gül yastığa baş goydum hey canım hey
seni de gelecek diye hey canım rinna nay rinna rinna nay
sol yanımı her yanımı boş goydum hey canım hey
garıncanın gatarı hey canım rinna nay rinna rinna nay
sol yanımda batarı hey canım hey
benim de buraya geldiğim hey canım rinna nay rinna rinna nay
bir güzelin hatırı hey canım hey
",halk,0.05,0.06,0.01,0.0,0.03,0.17,0.0,0.31
63,Derdim çoktur hangisine yanayım,"derdim çoktur hangisine yanayım
yine tazelendi yürek yarası
ben bu derde hande derman bulayım
meğer dost elinden ola çaresi
efendim efendim benim efendim
benim bu derdime derman efendim
türlü donlar giymiş gülden naziktir
bülbül çevreyleme güle yazıktır
çok hasretlik çektim bağrım eziktir
güle güle gelir canlar paresi
efendim efendim benim efendim
benim bu derdime derman efendim
benim uzun boylu servi çınarım
yüreğime bir od düştü yanarım
kıblem sensin yüzüm sana dönerim
mihrabımdır kaşlarının arası
efendim efendim benim efendim
benim bu derdime derman efendim
pir sultanım katı yüksek uçarsın
selamsız sabahsız gelir geçersin
dilber muhabetten niye kaçarsın
böylemiydi yolumuzun töresi
efendim efendim benim efendim
benim bu derdime derman efendim
",halk,0.04,0.17,0.06,0.03,0.01,0.0,0.0,0.03
64,Deve yüksek atamadım urganı,"deve yüksek atamadım urganı
elifim ağlama karaları bağlama
benim için ağlama nazlı da rûzî hanım
yuvarlan da gel
susadıkça ver ağzıma ayranı
eliflerin ince ince sana geldim gizlice
saramadım bir gece nazlı da rûzî hanım
yuvarlan da gel
üşüdükçe çek üstüne yorganı
eliflerin ay gibi ellerin var kâr gibi
bazı gönlü var gibi nazlı da rûzî hanım
yuvarlan da gel
",halk,0.08,0.17,0.13,0.05,0.1,0.0,0.0,0.0
65,Devrent deresine duman bürüdü,"devrent deresine duman bürüdü
dumanın içinde dudum yürüdü
dudumu derelere kimler sürüdü
kaldır dudu kolların göster boyunu
dudumun yollarına kıydım canımı
kaymakçı kahvesinde masalar kuruldu
masanın başında süleyman vuruldu
saatine varmadan ödemişe duyuldu
kaldır dudu kolların göster boyunu
dudumun yollarına kıydım canımı
",halk,0.02,0.29,0.0,0.0,0.0,0.0,0.0,0.02
66,Deymen benim gamlı yaslı gönlüme,"deymen benim gamlı yaslı gönlüme
ben bir selvi boylu yârdan ayrıldım
evvel bağban idim dostun bağında
talan vurdu ayva nardan ayrıldım
kumru gibi gökyüzünde dönende
baykuş gibi virân yurda konanda
çok ağladım ferhat gibi çöllerde
şirin gibi zülfü yârdan ayrıldım
",halk,0.07,0.15,0.12,0.03,0.0,0.0,0.0,0.05
67,Dost dost diye nicesine sarıldım,"dost dost diye nicesine sarıldım
benim sadık yarim kara topraktır
beyhude dolandım boşa yoruldum
benim sadık yarim kara topraktır
nice güzellere bağlandım kaldım
ne bir vefa gördüm ne faydalandım
her türlü isteğim topraktan aldım
benim sadık yarim kara topraktır
koyun verdi kuzu verdi süt verdi
yemek verdi ekmek verdi et verdi
kazma i̇le dövmeyince kıt verdi
benim sadık yarim kara topraktır
ademden bu deme neslim getirdi
bana türlü türlü meyva yetirdi
her gün beni tepesinde götürdü
benim sadık yarim kara topraktır
karnın yardım kazma i̇le bel i̇le
yüzün yırttım tırnak i̇le el i̇le
yine beni karşıladı gül i̇le
benim sadık yarim kara topraktır
i̇şkence yaptıkça bana gülerdi
bunda yalan yoktur herkesler gördü
bir çekirdek verdim dört bostan verdi
benim sadık yarim kara topraktır
havaya bakarsam hava alırım
toprağa bakarsam dua alırım
topraktan ayrılsam nerde kalırım
benim sadık yarim kara topraktır
dileğin varsa i̇ste allahtan
almak i̇çin uzak gitme topraktan
cömertlik toprağa verilmiş haktan
benim sadik yarim kara topraktır
hakikat ararsan açık bir nokta
allah kula yakın kul da allaha
hakkın gizli hazinesi kara toprakta
benim sadık yarim kara topraktır
bütün kusurlarımı toprak gizliyor
merhem çalıp yaralarım düzlüyor
kolun açmış yollarımı gözlüyor
benim sadık yarim kara topraktır
her kim ki olursa bu sırra mazhar
dünyaya bırakır ölmez bir eser
gün gelir veyselin bağrına basar
benim sadık yarim kara topraktır
",halk,0.07,0.27,0.11,0.02,0.01,0.0,0.0,0.04
68,Dumanı da vardır şu dağların başında,"dumanı da vardır şu dağların başında
gönlüm kaldı toprağında taşında
bir ben değil cümlalemin başında
i̇manım dağlar bozdoğanım söğüdü
çok verdiler ben dutamadım öğüdü
i̇manım yarim gitti gelmedi
gudurası çaylar bir yudum su vermedi
gökyüzünde dağınık duğunluk bulutlar
kim ardımdankim yüzüme öğütler
ah evveliydi özü sözü doğru yiğitler
i̇manım dağlar bozdoğanım söğüdü
çok verdiler ben dutamadım öğüdü
i̇manım yarim gitti gelmedi
gudurası çaylar bir yudum su vermedi
",halk,0.07,0.18,0.03,0.03,0.01,0.0,0.0,0.16
69,Dut ağacı boyunca,"dut yemedim doyunca
yari halvette gördüm
sarılmadım doyunca
aycan aycan
yari halvette gördüm
sarılmadım doyunca
benim balam kime neyler
körpe balam bana neyler
benim balamay balam
körpe balam bana neyler
kızıl üzüh lahladı
verdim anam sahladı
anama kurban olum
meni tez adahladı
gedirdim yavaş yavaş
ayağıma deydi taş
senden bana yar olmaz
gel olak bacı gardaş
aycan aycan
senden bana yar olmaz
gel olak bacı gardaş
benim balam kime neyler
körpe balam kime neyler
benim balam ay balamah
körpe balam ay balam
",halk,0.02,0.15,0.1,0.04,0.0,0.0,0.0,0.13
70,Dün gece yâr hanesinde yastığım bir taş idi,"amman amman
dün gece yar hânesinde
yastığım bir taş idi
altım çamur üstüm yağmur
yine gönlüm hoş idi
amman amman amman
amman amman amman
ben yandım seni bilmem
amman amman amman
amman amman amman
bir dağ ne kadar yüce olsa
dağ kenarı yol olur
buna bayram gün derler
dostla düşman bir olur
amman amman amman
amman amman amman
ben yandım seni bilmem
",halk,0.06,0.16,0.05,0.02,0.0,0.0,0.0,0.0
71,Dünya umuruna meylini verme,"dünya umuruna meylini verme
sen de kurtulamazsın ecel elinden
ben filanım deyi göğsünü germe
sen de kurtulamazsın ecel elinden
hani meryem hani onnoğlu onun oğlu i̇sa
elinde ejderha olurdu asa
polat kavmi ile cengeden musa
o da kurtulamadı ecel elinden
i̇skender de gitti alemi gezdi
yunus balık ile deryayı yüzdü
zaloğlu rüstemin tahtını bozdu
o da kurtulamadı ecel elinden
nemrut i̇brahimle çok cenk eyledi
semaya kastetdi diye söylerdi
ahırı bir sinek halak eyledi
o da kurtulamadı ecel elinden
eydür derviş yunus din ile iman
tacı tahtı yel götürdü süleyman
lokman da olmadı derdine derman
o da kurtulamadı ecel elinden
",halk,0.09,0.16,0.01,0.01,0.1,0.0,0.0,0.09
72,Edremit'in gelini kınalamış elini,"edremitin gelini kınalamış elini
sarmaya doyamadım o incecik belini
hoştur cilvesi cilvesi elmaslı fesi
edremitin bağına duman çökmüş dağına
huriler çadır kurmuş cennetin ayağına
hoştur cilvesi cilvesi elmaslı fesi
yağmur yağar çöllere akar da gider göllere
hem güzelim hem selbes ondan düştüm dillere
hoştur cilvesi cilvesi elmaslı fesi
",halk,0.1,0.21,0.06,0.02,0.04,0.0,0.0,0.02
73,Eklemedir koca konak ekleme,"eklemedir koca konak ekleme aman aman
nazlı da yârim yine yine geldi aklıma
nasıl edeyim başımdaki sevdaya aman aman
aman aman dostlar yoldan geldim yorgunum
orta da boylu bir güzele vurgunum
bizim bağın menekşesi al olur aman aman
âlem de sevdiğine de yanar kul olur
sevdiğini alamayan delolur aman aman
haydi haydi gidelim aynalı kavağa üçümüz
taze de şeftalidir bizim yükümüz
bizim bağa gider iken serhaya
çektiler kolumdan beni tenhaya
nasıl edeyim başımdaki sevdaya
aman aman dostlar kabir de bana dar gelir
bu gençlikte ölüm bana zor gelir
",halk,0.04,0.15,0.08,0.06,0.07,0.16,0.0,0.02
74,Ela gözlerini sevdiğim dilber,"ela gözlerini sevdiğim dilber
ben güzel görmedim senden ziyade
bilmem melek misin gökten mi indin
ben melek görmedim senden ziyade
kara bağrım ezik ne salınırsın
cevahir pas tutmaz ne silinirsin
baktıkça gözüme hoş görünürsün
bugün güzelliğin dünden ziyade
",halk,0.03,0.21,0.21,0.03,0.0,0.0,0.05,0.0
75,Eledim eledim höllük eledim,"eledim eledim höllük eledim
aynalı beşikte canan bebek beledim
büyüttüm besledim asker eyledim
gitti de gelmedi canan buna ne çare
yandı ciğerim canan buna ne çare
bir güzel simâdır aklımı alan
aşkın sevdasını canan şerime saran
bizi kınamasın ehli din olan
gitti de gelmedi canan buna ne çare
yandı ciğerim canan buna ne çare
",halk,0.04,0.28,0.15,0.0,0.04,0.0,0.0,0.0
